4696	Gulf Cartel - Sinaloa Cartel
307	Guinea: Government
458	Government of Guinea - Civilians
571	RUF - Civilians
599	ULIMO - K - Civilians
1030	AFRC - Civilians
1908	LDF - Civilians
4751	Torma - Torma Manian
4966	Kpelle - Malinké
9637	Konianke - Kpelle
15103	Kpelle - Konianke, Malinké
375	Senegal: Casamance
410	Guinea-Bissau: Government
622	Buxton gang - Civilians
381	Haiti: Government
444	Government of Haiti - Civilians
4898	Supporters of Jean-Bertrand Aristide - Supporters of Roger Lafontant
15080	G9 an Fanmi e Alye - Civilians
15167	Delmas 19 gang , Delmas 6 gang, Delmas 95 gang, Nan Barozi gang, Nan Belekou gang, Nan Boston gang, Nan Chabón gang, Nan Ti Bwa gang, Pilate Base gang, Simon Pele gang, Wharf de Jeremie gang - Civilians
15353	G9 an Fanmi e Alye - G Pep
612	Mara Salvatrucha (Honduras) - Civilians
4941	Mara 18 (Honduras) - Mara Salvatrucha (Honduras)
218	India - Pakistan
227	India: Government
251	India: Nagaland
274	China - India
335	India: Tripura
347	India: Manipur
351	India: Punjab/Khalistan
365	India: Assam
434	India: Islamic State
497	PWG - Civilians
498	MCC - Civilians
499	CPI-Maoist - Civilians
503	NSCN-IM - Civilians
516	ATTF - Civilians
519	Sikh insurgents - Civilians
522	Kashmir insurgents - Civilians
523	ULFA - Civilians
534	DHD - BW - Civilians
535	BLTF - Civilians
541	Ranvir Sena - Civilians
545	UPDS - Civilians
546	VHP - Civilians
615	DHD - Civilians
616	KRA - Civilians
617	HPC - Civilians
624	Indian Mujahideen - Civilians
625	NDFB - RD - Civilians
626	Lashkar-e-Taiba - Civilians
902	ABSU - Civilians
1977	PCPA - Civilians
1979	PLFI - Civilians
4679	NSCN-IM - NSCN-K
4680	NSCN-IM - NSCN-U
4752	Bodo - Santhal
4753	HuM - JKLF
4754	Kuki - Naga
4902	Hindus (India) - Muslims (India)
4908	Kuki - Paite
4992	Dimasa  - Zeme Naga
10289	NSCN-K - NSCN-K-K
11475	Myanmar (Burma): Nagaland
10676	Assamese - Bodo
10780	Bangladeshi Immigrants - Bodo
11318	CPI-ML-VM - PWG
11342	India: Garoland
11361	Tripura Non-Tribal Communities - Tripura Tribal Communities
11523	Assamese - Bihari
13005	Al-Umma - Civilians
13230	NDFB-S - Civilians
13653	India: Western South East Asia
14003	Meitei - Pangal
291	Indonesia: West Papua
330	Indonesia: East Timor
366	Indonesia: Aceh
493	Government of Indonesia - Civilians
524	GAM - Civilians
539	Jemaah Islamiya - Civilians
630	Laskar Jihad - Civilians
4755	Dayak - Madurese
4903	Christians (Indonesia) - Muslims (Indonesia)
4929	Dayak, Malay (Indonesia) - Madurese
271	Iraq: Kurdistan
338	Iran: Government
354	Turkey: Kurdistan
518	Jondullah - Civilians
709	Government of Iran - Civilians
14268	Iran: Islamic State
14609	Iran - Israel
371	Iraq - Kuwait
420	Australia, United Kingdom, United States - Iraq
481	Government of Iraq - Civilians
505	Ansar al-Islam - Civilians
521	PKK - Civilians
538	Jamaat Jund al-Sahaba - Civilians
618	AAH - Civilians
4564	1920 Revolution Brigades - IS
4580	Ansar al-Islam - PUK
4645	IS - RJF
4756	Dereiat - al-Shaman
4757	IMK - PUK
4758	KDP - PUK
4759	KDP - PKK
4910	PKK - PUK
299	Syria: Government
13132	al-Mahdi Army - Civilians
13265	IS - JRTN
13902	Turkey: Islamic State
13741	Jaysh al-Mukhtar - MEK
483	Government of Israel - Civilians
500	PIJ - Civilians
501	Hamas - Civilians
502	AMB - Civilians
4616	Fatah - Hamas
13096	Hamas - Jund Ansar Allah
341	Liberia: Government
419	Ivory Coast: Government
457	Government of Ivory Coast - Civilians
564	NPFL - Civilians
576	MPCI - Civilians
577	MPIGO - Civilians
587	LPC - Civilians
1049	FRCI - Civilians
1923	AJPSN - Civilians
4617	FRCI - FN - IC
4618	FRCI - MILOCI
4776	LPC - NPFL
4892	Supporters of Laurent Gbagbo - Supporters of Alassane Outtara
4950	Burkinabé - Guéré
4951	Dioula - Guéré
4952	Guéré - Senufo
4962	Guéré - Malinké
9940	Bete - Senufo
13888	Fulani - Koulango , Lobi, Malinké
14434	FRGO - Civilians
4760	Supporters of JLP - Supporters of PNP
13668	IS - Southern Front
13886	Jordan: Islamic State
601	SLDF - Civilians
602	Mungiki - Civilians
4631	Garre subclan of Digil clan (Digil-Mirifle) - Murule subclan of Gugundabe clan (Hawiye)
4651	Jie - Turkana
4656	Kalenjin - Kikuyu
4657	Kalenjin - Kisii
4665	Kikuyu - Luo
4676	MDF - SLDF
4681	Nyangatom , Toposa - Turkana
4687	Pokot - Sabiny
4698	Rer Ahmad subclan (Hawiye) - Hawarsame Rer Hasan and Habar Ya'qub subclan of Marehan clan (Darod)
4703	Toposa - Turkana
4704	Pokot - Turkana
4762	Borana - Samburu
4763	Kalenjin - Luhya
4764	Kalenjin - Kisii, Luo
4765	Kisii - Maasai
4766	Kikuyu - Maasai
4767	Marakwet - Pokot
4768	Nandi - Pokot
4769	Orma, Wardei - Pokomo
4770	Pokot, Samburu - Turkana
4850	Dinka  - Nuer
4869	Karimojong - Pokot
4870	Matheniko Karimojong - Pokot
4915	Dodoth - Turkana
4925	Pokot - Samburu
4926	Samburu - Turkana
4928	Dassanetch - Nyangatom , Toposa
4930	Samburu - Somali
4970	Borana - Turkana
5038	Orma - Pokomo
13646	Kenya: Northeastern Province and Coast
11936	Borana - Burji, Gabra
14592	Chiebiliew Yoal (Lou Nuer) - Cie Bol
2003	Government of eSwatini (Swaziland) - Civilians
415	Uzbekistan: Government
4900	Kyrgyz - Uzbek
13324	Kyrgyzstan - Tajikistan
262	Laos: Government
492	Government of Laos - Civilians
260	Lebanon: Government
711	Government of Syria - Civilians
4639	Hezbollah - PSP
4771	Amal - Hezbollah
4772	Fatah - Fatah Revolutionary Council
4773	Hezbollah - SLA
4774	Forces of Michel Aoun - Lebanese Forces
4911	Forces of Michel Aoun - PSP
4999	Alawite (Lebanon) - Sunni (Lebanon)
11671	Hezbollah - Jabhat Fateh al-Sham
11694	Brigades of Aisha - Hezbollah
11736	ADP - Civilians
13034	IS - Jabhat Fateh al-Sham
13325	Hezbollah - IS
13675	Lebanon: Islamic State
14137	Hezbollah - HTS
14141	IS - HTS, Saraya Ahl al-Sham
411	Lesotho: Government
382	Sierra Leone: Government
459	Government of Liberia - Civilians
565	INPFL - Civilians
566	LURD - Civilians
598	ULIMO - J - Civilians
600	ULIMO - Civilians
4775	INPFL - NPFL
4777	NPFL - ULIMO
4778	NPFL, ULIMO - K - AFL, LPC, ULIMO - J
4779	ULIMO - J - ULIMO - K
4983	RUF - ULIMO
479	Government of Libya - Civilians
4996	Gontrar, Zintan - Mashashia
11346	Libya: Government
11859	Awlad Suleiman  - Qadhadhfa
13202	Awlad Suleiman  - Toubou
13204	Benghazi Revolutionaries Shura Council - Forces of the House of Representatives
13332	Libya Dawn - Zintan Military Council
13694	Libya: Islamic State
13695	Forces of the House of Representatives - IS
13705	DPF - IS
13728	DPF - Forces of the House of Representatives
13729	Ajdabiya Revolutionaries Shura Council  - Forces of the House of Representatives
13730	Toubou  - Tuareg
13732	Toubou  - Zuwaya
13924	SDB - Forces of the House of Representatives
13928	SRF - Subol Al-Salam Brigade
14234	Anas al-Dabbashi Brigade, Brigade 48 - Operations Room Combating Daesh, Shuhada al-Wadi militia
14338	Benghazi Revolutionaries Shura Council - LNA
14339	February 17 Martyrs Brigade, Rafallah al-Sahati Brigade - LNA
14340	ASL - LNA
14372	Forces of Ibrahim Jadhran - Forces of the House of Representatives
14391	Awlad Busayf, Awlad Suleiman  - Toubou
14406	Brigade 301, Ghaniwa Brigade, Nawasi Battalion, TRB - Kaniyat
14435	Jabhat al-Samud, Kaniyat - TPF
14506	IS - Shabab al-Tawhid wa al-Aqiyda
14733	Ahali - Toubou
417	Macedonia, FYR: Government
450	Government of Serbia (Yugoslavia) - Civilians
478	Government of Madagascar - Civilians
4877	Supporters of Andry Rajoelina - Supporters of Marc Ravalomanana
4893	Supporters of Didier Ratsiraka - Supporters of Marc Ravalomanana
308	Philippines: Mindanao
