org_id	org_name
7886	Delmas 19 gang , Delmas 6 gang, Delmas 95 gang, Nan Barozi gang, Nan Belekou gang, Nan Boston gang, Nan Chabón gang, Nan Ti Bwa gang, Pilate Base gang, Simon Pele gang, Wharf de Jeremie gang
8104	G Pep
778	Mara Salvatrucha (Honduras)
1099	Mara 18 (Honduras)
193	PWG
194	MCC
195	CPI-Maoist
223	NSCN-IM
306	ATTF
314	PLA
315	UNLF
317	KCP
318	PREPAK
319	Sikh insurgents
326	ULFA
362	ABSU
1066	NDFB - RD
369	PULF
368	DHD - BW
373	BLTF
392	Ranvir Sena
396	UPDS
397	VHP
883	DHD
884	KRA
885	HPC
1047	Indian Mujahideen
1070	Lashkar-e-Taiba
1185	PCPA
1187	PLFI
224	NSCN-K
798	NSCN-U
814	Bodo
815	Santhal
816	HuM
817	JKLF
387	Kuki
818	Naga
858	Hindus (India)
859	Muslims (India)
878	Paite
597	Dimasa
1180	Zeme Naga
2430	NSCN-K-K
2922	Assamese
2939	NLFT-B
3057	Bangladeshi Immigrants
3946	CPI-ML-J
3955	CPI-ML-VM
1163	GNLA
3963	Tripura Non-Tribal Communities
3404	Tripura Tribal Communities
4044	Bihari
5546	Al-Umma
5826	NDFB-S
6320	UNLFW
2907	Meitei
6779	Pangal
155	Government of Indonesia
266	OPM
290	CNRT
327	GAM
385	Jemaah Islamiya
1104	Laskar Jihad
819	Dayak
820	Madurese
860	Christians (Indonesia)
861	Muslims (Indonesia)
3825	Dayak, Malay (Indonesia)
261	PUK
308	MEK
309	PJAK
310	Jondullah
115	Government of Turkey
323	PKK
4364	Jaish al-Adl
231	SCIRI
233	Ansar al-Islam
235	RJF
260	KDP
125	Government of Kuwait
3822	Government of Australia, Government of United Kingdom, Government of United States of America
384	Jamaat Jund al-Sahaba
886	AAH
783	1920 Revolution Brigades
821	Dereiat
822	al-Shaman
823	IMK
118	Government of Syria
4456	Syrian insurgents
5659	al-Mahdi Army
4359	JRTN
4357	Jaysh al-Mukhtar
205	PFLP
206	PFLP-GC
208	PIJ
210	PNA
211	AMB
212	PRC
5667	Jund Ansar Allah
79	Government of Liberia
507	NPFL
76	Government of Ivory Coast
556	MPCI
557	MPIGO
555	MJP
558	FRCI
639	LPC
1131	AJPSN
605	FN - IC
652	MILOCI
1015	Supporters of Laurent Gbagbo
1016	Supporters of Alassane Outtara
1110	Burkinabé
1109	Guéré
599	Dioula
1111	Senufo
1296	Bete
1125	FDSI-CI
607	Fulani
6664	Koulango , Lobi, Malinké
7163	FRGO
824	Supporters of JLP
825	Supporters of PNP
6333	Southern Front
120	Government of Jordan
505	ARS/UIC
704	SLDF
714	Mungiki
612	Garre subclan of Digil clan (Digil-Mirifle)
656	Murule subclan of Gugundabe clan (Hawiye)
633	Jie
1024	Kalenjin
926	Kikuyu
927	Kisii
901	Luo
902	MDF
3806	Nyangatom , Toposa
670	Pokot
681	Sabiny
683	Rer Ahmad subclan (Hawiye)
684	Hawarsame Rer Hasan and Habar Ya'qub subclan of Marehan clan (Darod)
692	Toposa
925	Samburu
928	Luhya
3816	Kisii, Luo
1030	Maasai
929	Marakwet
930	Nandi
3815	Orma, Wardei
933	Pokomo
3814	Pokot, Samburu
1040	Karimojong
1029	Matheniko Karimojong
1038	Dodoth
931	Orma
4463	Burji, Gabra
7112	Chiebiliew Yoal (Lou Nuer)
7113	Cie Bol
1212	Government of eSwatini (Swaziland)
133	Government of Uzbekistan
359	IMU
854	Kyrgyz
853	Uzbek
132	Government of Kyrgyzstan
149	Government of Laos
246	LRM
119	Government of Lebanon
242	Forces of Michel Aoun
243	Lebanese Forces
879	PSP
239	Amal
